"iso","adm1","umd_tree_cover_extent_2010__ha","area__ha"
"KAZ",1,915432.48767316195329667,22257783.7007565333390666
"KAZ",2,317636.7889679393645103,14703199.706920135121117
"KAZ",3,44859.179242909568055,30171975.716960567395060
"KAZ",4,140040.2785421781205989,11736077.5466474947160741
"KAZ",5,1869622.28498040856683876,28062525.312967604446291675
"KAZ",6,3263.341554087691953926,16610664.4145057505634898
"KAZ",7,470450.59920918652382194,9887061.0701439668480729
"KAZ",8,184104.59105753214582523,12509052.08560381032937885
"KAZ",9,37829.95151910867502457,42979534.3163797975894342
"KAZ",10,201736.39977099689495390,20107280.00428550710766356
"KAZ",11,10487.054268899505040894,22919269.62727418616447
"KAZ",12,56564.6369345566045507,11587862.27473478340919015
"KAZ",13,167348.9002466630536356,15492874.3116387388610516
"KAZ",14,107677.402297963707735,14027876.1354911879595503
